X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
-1,1,-1,0,0,1,-1,0,-1,0,-1.64046046120892
1,0,1,0,0,-1,-1,1,1,-1,2.01080532985597
-1,0,1,0,0,1,0,-1,0,1,-1.5103756311769
-1,-1,-1,-1,-1,1,0,0,-1,0,-3.67855736356023
1,0,0,1,0,-1,0,1,0,-1,4.60165062991376
-1,0,1,0,1,-1,1,-1,0,-1,-0.821970349617355
1,-1,-1,-1,-1,1,1,0,1,-1,-1.25034729851562
1,1,0,-1,-1,1,0,0,-1,1,4.52365984875195
1,0,-1,-1,0,1,-1,-1,0,0,0.688562784252399
-1,-1,0,-1,-1,1,0,-1,1,0,-2.52864735111158
1,-1,-1,0,-1,1,1,1,-1,0,-2.03714789539549
-1,0,-1,0,0,0,-1,1,-1,1,-2.74219549649348
1,0,1,0,1,0,0,1,1,1,5.95115608560098
1,-1,-1,0,1,0,1,1,-1,1,0.300861711915856
1,1,0,0,1,1,0,0,1,1,4.79663368998729
1,0,-1,0,1,0,0,-1,0,1,1.16240455248984
1,0,1,-1,0,0,0,-1,1,-1,4.79319119126696
-1,-1,-1,-1,-1,1,0,0,0,-1,-3.71063324019418
1,0,1,-1,0,0,0,0,0,1,3.35957928684951
1,1,0,-1,-1,-1,0,-1,1,1,4.32322920794788
-1,1,1,1,-1,1,-1,-1,0,1,-5.222170108135
-1,-1,0,0,1,0,0,0,0,-1,0.262854251485725
-1,-1,-1,-1,-1,1,0,0,0,1,-2.67052498662759
-1,-1,1,1,0,1,1,0,1,0,0.926332261931113
1,1,-1,0,-1,1,1,1,-1,-1,4.06420945578478
1,1,-1,1,-1,-1,-1,0,0,-1,4.76459344973341
1,1,1,1,0,1,0,0,0,1,10.2381836454403
-1,1,0,-1,0,-1,0,1,0,0,-3.46310332674325
-1,1,-1,0,1,-1,1,0,1,0,0.024435963904039
-1,-1,-1,1,0,-1,1,-1,-1,-1,-3.48295334659732
-1,0,-1,-1,1,-1,1,1,0,-1,-0.255865409044096
1,1,1,-1,0,1,-1,-1,-1,1,8.08812696676618
1,0,1,0,1,1,-1,0,0,-1,4.86390006053104
-1,0,0,1,1,0,-1,-1,1,0,-1.74848959831977
-1,-1,0,-1,0,0,1,-1,1,1,-1.40180157736162
1,1,1,0,0,0,-1,0,-1,0,8.67125939092036
1,1,-1,-1,0,0,-1,-1,1,0,3.24824310234165
-1,1,-1,-1,0,-1,1,1,-1,1,-4.3523732452706
1,1,1,-1,0,1,1,0,1,1,6.81690569555729
1,1,-1,1,-1,0,0,1,-1,-1,5.31285789035001
-1,0,1,1,-1,0,-1,0,-1,1,-4.11095505857923
-1,1,0,1,0,0,-1,-1,1,-1,-4.64310122881008
-1,1,0,1,0,0,-1,0,-1,-1,-3.8231554093314
1,-1,1,-1,0,-1,1,0,-1,1,0.492631790033118
-1,-1,-1,-1,0,1,1,1,1,0,0.330902551638585
1,-1,1,1,1,-1,1,0,1,0,4.56589450397968
-1,0,0,0,1,1,1,1,-1,-1,3.4734142972347
-1,0,1,-1,1,-1,1,0,0,-1,-0.942735302806473
1,-1,1,0,0,-1,1,1,0,0,3.80176533074342
-1,1,-1,-1,1,-1,1,0,-1,-1,0.482933314625184
-1,0,1,1,1,-1,0,-1,1,-1,-0.0290296338530065
1,1,-1,-1,1,1,-1,0,1,0,5.74690859211475
-1,-1,-1,1,1,-1,1,1,0,-1,1.24549190006176
-1,1,1,-1,1,0,1,-1,-1,0,-0.367351576356933
1,0,1,-1,0,0,1,-1,1,0,5.13873252280343
1,0,-1,-1,-1,0,1,0,-1,1,-0.413308328815844
-1,-1,1,0,0,1,0,-1,0,-1,-1.70751706087895
1,0,0,-1,1,0,-1,-1,0,1,3.85375352578467
1,-1,0,0,1,-1,-1,1,1,-1,-0.809498603356518
1,1,0,1,0,-1,1,-1,1,0,3.87597353284033
1,1,1,0,0,-1,0,-1,0,1,5.563137758197
1,1,-1,0,-1,1,1,1,0,-1,2.53174856295286
-1,0,0,1,-1,-1,0,-1,1,0,-6.22708995379674
1,-1,-1,0,1,0,1,-1,1,1,-1.21511685456219
1,0,0,-1,1,-1,1,-1,-1,1,0.130516874828559
-1,0,0,0,-1,0,0,-1,0,0,-6.92051120754788
1,1,1,-1,-1,1,0,0,0,1,9.6198975488397
-1,1,1,0,0,-1,1,0,-1,1,-5.63416053347792
1,0,1,0,-1,-1,-1,0,0,1,6.18680294339405
-1,0,-1,0,1,-1,0,0,-1,0,-4.61484670885981
-1,1,0,1,1,1,-1,0,1,1,0.975711014307022
-1,-1,1,0,1,-1,0,-1,0,1,-0.860607518403306
1,0,0,0,-1,0,-1,0,1,-1,4.20916803421885
1,1,1,-1,-1,0,-1,-1,-1,1,6.59300631421268
-1,1,0,1,1,1,-1,0,1,-1,-0.979497635477638
1,-1,0,-1,0,-1,1,-1,0,0,-1.59204119525732
1,1,0,0,1,-1,-1,-1,-1,-1,5.55184073368933
1,0,0,-1,1,0,1,0,-1,0,1.94890382734204
1,0,-1,0,1,1,-1,-1,1,0,3.36589471084594
-1,0,-1,0,0,-1,0,1,1,-1,-6.23472303155197
1,-1,0,1,0,-1,0,-1,0,0,3.60119532355201
1,0,1,0,1,0,-1,-1,0,0,6.84506316393063
-1,1,-1,1,0,1,1,0,-1,0,-0.71887093193704
1,-1,-1,0,1,1,1,-1,-1,0,-1.73270850908153
-1,0,0,1,-1,1,0,0,0,0,-3.24503131993388
-1,0,0,0,0,-1,0,-1,-1,0,-6.07016200259181
1,-1,-1,0,0,1,1,1,1,0,-0.0255455898645347
1,-1,-1,1,-1,-1,1,-1,0,-1,-0.715824240777258
1,0,1,-1,0,-1,0,-1,1,0,5.51382369677689
1,0,-1,0,0,0,0,1,0,-1,0.520637275599393
1,0,-1,0,0,1,0,0,0,1,1.51428778308721
-1,0,-1,-1,0,-1,0,1,1,1,-5.09105064280567
-1,0,0,0,-1,1,1,-1,1,0,-2.62448490961914
-1,1,0,1,0,-1,0,0,0,-1,-2.72531606017447
-1,-1,-1,-1,0,-1,-1,-1,-1,1,-4.44452968533889
1,-1,1,1,-1,-1,1,-1,-1,1,2.36342444200451
