T,phi_1000,target
200,0,0
200,1,15.06770756
200,2,32.92914271
200,3,49.05083984
200,4,59.39326183
200,5,68.41416898
200,6,72.12556459
200,7,75.8369602
200,8,81.76594757
200,9,84.12290457
200,10,86.47986156
200,11,88.38292307
200,12,90.28598458
200,13,93.44763368
200,14,94.80221419
200,15,96.1567947
200,16,97.34661891
200,17,98.53644312
200,18,100.6600351
200,19,101.6164169
200,20,102.5727986
200,21,103.4388288
200,22,104.3048589
200,23,105.091956
200,24,105.879053
200,25,106.5977016
200,26,107.3163501
200,27,108.6363499
200,28,109.2452709
200,29,109.8541919
200,30,110.4167276
200,31,110.9792633
200,32,111.4983487
200,33,112.0174341
200,34,112.4957251
200,35,112.9740161
200,36,113.8543279
200,37,114.2594239
200,38,114.6645198
200,39,115.0402972
200,40,115.4160746
200,41,115.7698868
200,42,116.1236989
200,43,116.4592377
200,44,116.7947764
200,45,117.4284832
200,46,117.7266356
200,47,118.024788
200,48,118.3061589
200,49,118.5875298
200,50,118.853893
200,51,119.1202562
200,52,119.372447
200,53,119.6246378
200,54,119.8645286
200,55,120.1044193
200,56,120.5645974
200,57,120.7848181
200,58,121.0050387
200,59,121.2139686
200,60,121.4228984
200,61,121.6215481
200,62,121.8201978
200,63,122.0113293
200,64,122.2024607
200,65,122.3876106
200,66,122.5727605
200,67,122.9305443
200,68,123.1029519
200,69,123.2753595
200,70,123.4426356
200,71,123.6099116
200,72,123.7727066
200,73,123.9355016
200,74,124.0912699
200,75,124.2470381
200,76,124.3929927
200,77,124.5389472
200,78,124.812219
200,79,124.9426126
200,80,125.0730061
200,81,125.1997632
200,82,125.3265202
200,83,125.44925
200,84,125.5719797
200,85,125.6886158
200,86,125.8052518
200,87,125.9155512
200,88,126.0258505
200,89,126.2381648
200,90,126.3422398
200,91,126.4463148
200,92,126.5482754
200,93,126.650236
200,94,126.7489961
200,95,126.8477562
200,96,126.9425741
200,97,127.0373919
200,98,127.1278796
200,99,127.2183673
200,100,127.3050759
200,101,127.3917844
200,102,127.5613545
200,103,127.6463092
200,104,127.7312639
200,105,127.8176197
200,106,127.9039755
200,107,127.9914086
200,108,128.0788417
200,109,128.1659498
200,110,128.2530579
200,111,128.3390049
200,112,128.4249518
200,113,128.5950594
200,114,128.6800309
200,115,128.7650024
200,116,128.8505794
200,117,128.9361564
200,118,129.0218771
200,119,129.1075977
200,120,129.1917859
200,121,129.275974
200,122,129.3576745
200,123,129.439375
200,124,129.5997125
200,125,129.6797044
200,126,129.7596963
200,127,129.8402295
200,128,129.9207626
200,129,130.0023887
200,130,130.0840148
200,131,130.1666837
200,132,130.2493526
200,133,130.3323438
200,134,130.415335
200,135,130.5804955
200,136,130.6614589
200,137,130.7424223
200,138,130.8206626
200,139,130.8989028
200,140,130.9751541
200,141,131.0514054
200,142,131.1271168
200,143,131.2028282
200,144,131.2781952
200,145,131.3535622
200,146,131.4283262
200,147,131.5030901
200,148,131.651532
200,149,131.7247913
200,150,131.7980505
200,151,131.8692642
200,152,131.9404779
200,153,132.0094646
200,154,132.0784512
200,155,132.1463839
200,156,132.2143166
200,157,132.2811046
200,158,132.3478926
200,159,132.4762528
200,160,132.5382097
200,161,132.6001665
200,162,132.6615286
200,163,132.7228906
200,164,132.7836002
200,165,132.8443097
200,166,132.9031415
200,167,132.9619732
200,168,133.0189073
200,169,133.0758413
200,170,133.1891546
200,171,133.2466561
200,172,133.3041576
200,173,133.3616654
200,174,133.4191731
200,175,133.47515
200,176,133.5311269
200,177,133.5853424
200,178,133.6395578
200,179,133.693394
