p_rel,v_rel,T_0,target,exp_a,exp_b,exp_c,exp_d,exp_e,exp_f,exp_g,exp_h,exp_i,exp_j,exp_k,exp_l,exp_m,exp_n
0.2863,0.262,18.1,0.10283,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2864,0.262,20.0,0.10136,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2864,0.261,21.2,0.09885,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2863,0.262,22.0,0.09758,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2864,0.261,22.3,0.09673,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2865,0.262,23.0,0.09593,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.250,27.6,0.09780,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.250,30.4,0.09662,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,33.1,0.09531,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,33.5,0.09490,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2861,1.249,34.0,0.09465,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.2862,1.250,34.4,0.09404,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5725,0.262,11.7,0.09202,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,12.8,0.09153,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,12.3,0.09127,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,12.4,0.09138,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,11.5,0.09127,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,0.262,11.3,0.09118,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,1.249,38.6,0.08748,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5724,1.249,41.9,0.08594,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,1.249,48.2,0.08491,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,1.250,50.0,0.08413,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,1.249,50.3,0.08412,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5723,1.250,49.8,0.08373,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8585,0.262,14.5,0.08864,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8585,0.262,15.2,0.08765,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8584,0.262,15.6,0.08764,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8584,0.262,15.4,0.08761,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8584,0.262,14.8,0.08745,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.8584,0.262,14.7,0.08752,1,0,0,0,0,0,0,0,0,0,0,0,0,0
