X,F
-1,-7.34763812293426E-17
-0.9,-0.158702018118968
-0.8,-0.228253563910837
-0.7,-0.199721868421982
-0.6,-0.105801345412645
-0.5,1.83690953073357E-17
-0.4,0.0705342302750968
-0.3,0.0855950864665638
-0.2,0.0570633909777092
-0.1,0.0176335575687742
0,0
0.1,0.0176335575687742
0.2,0.0570633909777092
0.3,0.0855950864665638
0.4,0.0705342302750968
0.5,1.83690953073357E-17
0.6,-0.105801345412645
0.7,-0.199721868421982
0.8,-0.228253563910837
0.9,-0.158702018118968
1,-7.34763812293426E-17
-1,-7.34763812293426E-17
-0.999,-0.00188305824647797
-0.998,-0.00376227234107588
-0.997,-0.00563756831887857
-0.996,-0.00750887251846938
-0.995,-0.00937611158482132
-0.994,-0.0112392124721746
-0.993,-0.013098102446892
-0.992,-0.0149527090902996
-0.991,-0.016802960301506
-0.99,-0.018648784300206
-0.989,-0.0204901096294643
-0.988,-0.0223268651584793
-0.987,-0.0241589800853316
-0.986,-0.0259863839397099
-0.985,-0.0278090065856212
-0.984,-0.0296267782240787
-0.983,-0.0314396293957744
-0.982,-0.0332474909837278
-0.981,-0.0350502942159201
-0.98,-0.0368479706679056
-0.979,-0.0386404522654034
-0.978,-0.040427671286873
-0.977,-0.0422095603660651
-0.976,-0.0439860524945579
-0.975,-0.0457570810242676
-0.974,-0.0475225796699452
-0.973,-0.0492824825116471
-0.972,-0.0510367239971905
-0.971,-0.0527852389445852
-0.97,-0.0545279625444459
-0.969,-0.0562648303623852
-0.968,-0.0579957783413839
-0.967,-0.0597207428041428
-0.966,-0.0614396604554115
-0.965,-0.0631524683842993
-0.964,-0.0648591040665611
-0.963,-0.0665595053668673
-0.962,-0.0682536105410471
-0.961,-0.069941358238316
-0.96,-0.0716226875034783
-0.959,-0.0732975377791091
-0.958,-0.0749658489077166
-0.957,-0.0766275611338799
-0.956,-0.0782826151063691
-0.955,-0.0799309518802393
-0.954,-0.0815725129189074
-0.953,-0.083207240096203
-0.952,-0.0848350756984012
-0.951,-0.0864559624262306
-0.95,-0.0880698433968601
-0.949,-0.0896766621458655
-0.948,-0.0912763626291705
-0.947,-0.0928688892249694
-0.946,-0.0944541867356237
-0.945,-0.0960322003895403
-0.944,-0.0976028758430234
-0.943,-0.0991661591821072
-0.942,-0.100721996924365
-0.941,-0.102270336020693
-0.94,-0.103811123857079
-0.939,-0.105344308256338
-0.938,-0.106869837479835
-0.937,-0.108387660229176
-0.936,-0.109897725647886
-0.935,-0.111399983323056
-0.934,-0.112894383286968
-0.933,-0.114380876018704
-0.932,-0.115859412445722
-0.931,-0.117329943945417
-0.93,-0.118792422346655
-0.929,-0.120246799931283
-0.928,-0.12169302943562
-0.927,-0.123131064051919
-0.926,-0.124560857429811
-0.925,-0.125982363677724
-0.924,-0.127395537364276
-0.923,-0.128800333519648
-0.922,-0.130196707636931
-0.921,-0.131584615673451
-0.92,-0.132964014052073
-0.919,-0.134334859662474
-0.918,-0.1356971098624
-0.917,-0.137050722478894
-0.916,-0.138395655809507
-0.915,-0.139731868623477
-0.914,-0.141059320162889
-0.913,-0.142377970143812
-0.912,-0.14368777875741
-0.911,-0.14498870667103
-0.91,-0.146280715029266
-0.909,-0.147563765454999
-0.908,-0.148837820050415
-0.907,-0.150102841397996
-0.906,-0.151358792561489
-0.905,-0.152605637086854
-0.904,-0.153843339003176
-0.903,-0.155071862823575
-0.902,-0.156291173546066
-0.901,-0.157501236654416
-0.9,-0.158702018118968
-0.899,-0.159893484397438
-0.898,-0.161075602435696
-0.897,-0.162248339668517
-0.896,-0.16341166402031
-0.895,-0.164565543905824
-0.894,-0.165709948230828
-0.893,-0.166844846392765
-0.892,-0.167970208281391
-0.891,-0.169086004279378
-0.89,-0.1701922052629
-0.889,-0.171288782602195
-0.888,-0.1723757081621
-0.887,-0.173452954302564
-0.886,-0.174520493879136
-0.885,-0.17557830024343
-0.884,-0.176626347243564
-0.883,-0.177664609224577
-0.882,-0.178693061028823
-0.881,-0.179711677996335
-0.88,-0.180720435965174
-0.879,-0.181719311271744
-0.878,-0.182708280751093
-0.877,-0.183687321737183
-0.876,-0.184656412063138
-0.875,-0.185615530061469
-0.874,-0.186564654564275
-0.873,-0.187503764903418
-0.872,-0.188432840910676
-0.871,-0.189351862917875
-0.87,-0.190260811756988
-0.869,-0.191159668760221
-0.868,-0.192048415760069
-0.867,-0.192927035089346
-0.866,-0.193795509581203
-0.865,-0.194653822569104
-0.864,-0.195501957886798
-0.863,-0.19633989986825
-0.862,-0.19716763334756
-0.861,-0.197985143658855
-0.86,-0.198792416636154
-0.859,-0.199589438613214
-0.858,-0.200376196423352
-0.857,-0.201152677399241
-0.856,-0.201918869372684
-0.855,-0.202674760674365
-0.854,-0.203420340133575
-0.853,-0.20415559707792
-0.852,-0.204880521332996
-0.851,-0.20559510322205
-0.85,-0.206299333565612
-0.849,-0.206993203681109
-0.848,-0.207676705382452
-0.847,-0.208349830979597
-0.846,-0.209012573278095
-0.845,-0.209664925578601
-0.844,-0.21030688167638
-0.843,-0.210938435860771
-0.842,-0.211559582914645
-0.841,-0.212170318113828
-0.84,-0.212770637226508
-0.839,-0.213360536512616
-0.838,-0.213940012723186
-0.837,-0.214509063099693
-0.836,-0.215067685373368
-0.835,-0.215615877764488
-0.834,-0.216153638981647
-0.833,-0.216680968221006
-0.832,-0.217197865165514
-0.831,-0.217704329984113
-0.83,-0.218200363330922
-0.829,-0.218685966344391
-0.828,-0.219161140646442
-0.827,-0.219625888341582
-0.826,-0.220080212015996
-0.825,-0.220524114736621
-0.824,-0.220957600050192
-0.823,-0.221380671982275
-0.822,-0.221793335036267
-0.821,-0.222195594192388
-0.82,-0.222587454906641
-0.819,-0.222968923109752
-0.818,-0.223340005206098
-0.817,-0.223700708072599
