log_v_k_nu,target
1.511,1.94
2.608,1.74
1.394,1.91
1.519,1.78
1.49665,1.93
3.255,1.72
0.33686,1.33
1.38,2.02
1.993,1.73
2.004,1.72
1.462,1.95
1.842,1.76
0.8488,2.14
1.48785,1.93
1.14,2.09
2.087,1.75
1.68124,1.85
1.884,1.72
2.677,1.74
1.72428,1.83
1.822,1.74
1.721,1.78
0.117,0.86
1.623,1.77
1.763,1.81
3.475,1.73
2.2531,1.75
2.603,1.72
0.593,1.79
2.16435,1.78
2.3,1.75
1.924,1.74
0.807,2.09
0.63,1.84
1.957,1.75
1.146,2.12
1.737,1.84
2.695,1.73
2.05346,1.75
1.865,1.78
1.692,1.84
2.488,1.7
0.529,1.62
0.982,2.14
0.16047,0.94
3.1,1.71
1.74,1.79
1.633,1.8
0.584,1.82
1.435,1.97
1.64738,1.84
1.324,2.02
1.093,2.18
1.923,1.75
2.648,1.73
2.555,1.73
2.961,1.72
2.599,1.72
2.327,1.73
2.391,1.75
1.74,1.78
0.839,2.14
1.922,1.74
0.661,1.89
1.525,1.82
2.19,1.74
1.78,1.84
0.733,1.93
1.59329,1.9
0.35603,1.4
2.143,1.75
1.17609,2.09
2.11661,1.74
2.15259,1.79
1.04844,2.17
1.118,2.1
2.441,1.72
0.871,2.1
2.144,1.72
0.883,2.13
1.5955,1.87
0.942,2.15
2.34928,1.77
0.31,1.17
1.947,1.7
0.781,2
1.537,1.89
1.196,2.05
2.336,1.75
1.818,1.78
2.614,1.72
1.361,2.04
1.307,2.03
1.073,2.11
0.919,2.07
3.417,1.74
1.248,2.15
2.089,1.71
0.668,1.99
1.526,1.89
2.699,1.71
1.943,1.78
1.239,2.13
0.769,2.02
1.767,1.78
0.114,0.88
0.508,1.65
2.453,1.74
2.158,1.7
1.782,1.8
2.526,1.71
2.565,1.72
0.57542,1.75
2.976,1.72
0.322,1.24
2.914,1.75
1.22,2.13
2.30963,1.75
1.38346,2
2.391,1.72
0.732,2.09
0.767,2.1
0.428,1.52
1.619,1.92
0.50996,1.61
1.66,1.8
3.446,1.73
2.049,1.74
0.959,2.07
0.971,2.1
0.212,1.05
1.491,1.94
2.322,1.74
0.84,2.06
1.34674,2.01
2.422,1.73
1.064,2.13
0.878,2.05
1.965,1.64
1.642,1.83
1.664,1.8
1.317,1.96
1.85491,1.74
0.766,2.1
1.391,1.94
2.324,1.73
2.458,1.72
1.685,1.8
2.409,1.73
1.004,2.08
0.36922,1.43
2.479,1.71
0.627,1.99
2.17754,1.75
0,0.64
1.52,1.9
0.45,1.59
2.33746,1.8
2.906,1.73
1.69373,1.84
1.89,1.79
2.057,1.73
2.286,1.75
1.19,2.12
2.03383,1.78
2.207,1.72
1.458,1.94
2.46,1.74
0.63347,1.85
0.526,1.69
1.659,1.78
2.909,1.71
1.769,1.79
2.464,1.75
3.338,1.75
1.255,2
1.58,1.85
3.03,1.74
1.888,1.78
1.62221,1.85
1.26811,2.05
2.639,1.71
2.21245,1.79
2.375,1.79
2.655,1.72
0.267,1.16
1.214,2.01
1.338,1.99
1.276,2.09
1.272,2.05
2.658,1.75
2.228,1.69
1.683,1.85
1.328,2.03
0.417,1.5
0.638,1.86
1.572,1.92
2.494,1.75
1.508,1.83
1.919,1.75
0.6,1.83
0.82543,2.1
0.825,2.06
0.97267,2.16
1.651,1.85
0,0.51
1.80003,1.79
2.223,1.76
1.881,1.76
2.636,1.72
1.979,1.73
2.086,1.78
0.352,1.26
1.559,1.87
0.545,1.77
2.13194,1.79
1.906,1.75
0.083,0.79
0.26951,1.02
1.826,1.74
1.99739,1.74
0.934,2.11
0.236,1.06
1.54876,1.9
0.944,2.06
2,1.72
1.74273,1.8
0.75669,2.03
1.255,2.05
1.68,1.79
1.415,2
1.603,1.84
1.107,2.07
0.999,2.15
1.998,1.73
0.407,1.48
2.87,1.72
2.396,1.74
0.31175,1.27
2.367,1.72
1.188,2.14
3.387,1.74
0.732,1.99
2.342,1.75
3.152,1.71
1.107,2.14
1.899,1.75
0.12418,0.88
1.477,1.94
2.746,1.73
0.884,2.1
0.829,2.02
0.47,1.62
2.27184,1.78
2.21005,1.77
1.76938,1.8
0.29,1.15
2.814,1.71
2.083,1.72
2.032,1.73
1.964,1.71
1.37694,1.9
0.41497,1.48
0.694,1.9
0.391,1.41
0.934,2.17
0.929,2.07
2.27,1.76
0.74741,1.99
0.197,1.01
3.014,1.71
1.928,1.77
2.428,1.73
3.314,1.74
2.055,1.72
2.767,1.73
1.317,2.06
1.352,1.92
1.96614,1.75
0.8657,2.11
1.56467,1.91
1.718,1.82
2.686,1.74
2.57,1.77
3.073,1.73
2.167,1.72
1.172,2.03
1.791,1.8
2.049,1.72
2.545,1.7
1.265,2.07
0.713,1.92
1.865,1.77
2.745,1.75
2.411,1.78
2.362,1.69
0.08279,0.85
1.961,1.83
1.288,2.11
0.513,1.65
2.252,1.74
1.119,2.14
1.53656,1.9
1.38,1.97
0.348,1.31
1.003,2.12
1.303,1.95
0.933,2.17
2.618,1.71
2.21,1.75
3.293,1.73
0.24055,1.1
0.672,1.94
1.42259,1.95
0.966,2.12
1.641,1.85
2.816,1.75
1.8169,1.78
1.377,2.04
1.83315,1.76
0.798,2.08
2.358,1.79
2.021,1.71
1.87795,1.78
1.615,1.85
0.902,2.15
1.98,1.76
0.797,2.13
1.576,1.9
2.33,1.72
0.588,1.79
2.271,1.71
0.69636,1.93
1.362,1.94
1.053,2.06
2.35,1.75
2.526,1.74
1.70415,1.83
1.46627,1.95
0.549,1.74
2.41,1.69
1.446,1.87
2.5,1.72
2.294,1.7
1.11428,2.11
1.229,2.06
1.41896,1.88
1.032,2.17
1.183,2.1
2.278,1.72
0.711,2.02
1.667,1.82
3.054,1.76
2.566,1.71
2.184,1.73
1.648,1.78
2.311,1.74
2.439,1.72
2.12,1.75
1.996,1.74
1.483,1.85
1.841,1.77
