X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,Y
1,1,0,1,0,0,1,-1,-1,1,9.35095055870332
-1,0,-1,0,0,1,0,0,0,0,-3.94909418382579
1,1,0,0,1,0,0,1,0,-1,8.26836233510468
1,0,-1,1,-1,0,0,0,0,1,1.13834345304145
-1,1,-1,-1,0,0,0,-1,1,0,-3.66974122048131
-1,1,1,1,-1,-1,1,-1,-1,-1,-6.91765408529703
-1,1,0,1,0,1,1,0,0,-1,0.970481611640931
1,1,0,0,1,0,0,-1,1,1,4.87918661513482
-1,0,0,0,0,0,1,0,-1,1,-2.42413250575195
1,-1,-1,1,1,-1,-1,-1,-1,1,-2.57868520450034
-1,0,1,0,-1,1,-1,-1,0,-1,-5.6682978543727
1,-1,-1,-1,1,-1,1,1,1,0,-1.7751499654424
-1,1,0,1,0,-1,1,1,-1,-1,-1.58492074714784
1,0,0,1,1,1,0,0,1,-1,4.1168845672645
-1,0,-1,0,-1,0,0,-1,-1,0,-3.86256666708942
1,-1,1,0,-1,1,-1,-1,-1,0,2.19798041890519
1,1,-1,0,-1,1,0,0,-1,1,4.14051001636282
1,-1,0,0,-1,-1,-1,-1,1,1,1.75115981493987
1,1,1,0,1,1,1,0,-1,1,9.43079190299667
-1,1,0,-1,0,-1,0,0,0,0,-4.90171423210152
-1,1,0,0,0,1,1,1,-1,0,-1.0467385028418
-1,1,1,-1,0,-1,0,-1,0,0,-2.89705071417915
1,-1,1,0,0,1,0,1,1,-1,1.96091792870168
-1,-1,-1,0,1,0,1,-1,1,0,1.58864948544651
-1,0,0,-1,1,0,1,-1,0,-1,1.86909457800618
1,-1,0,-1,1,0,1,-1,0,1,0.79558752553225
-1,0,-1,1,0,-1,-1,1,1,0,-5.68428910003286
1,1,0,1,-1,1,1,1,-1,0,4.97536020984698
-1,1,0,1,1,-1,1,1,-1,1,-3.50216449231422
1,1,0,1,1,1,1,0,-1,-1,6.72047621230669
-1,0,1,-1,-1,-1,-1,1,-1,-1,-5.69393991821232
-1,-1,1,-1,-1,1,-1,0,1,-1,-4.7037340620566
1,1,-1,1,-1,1,1,1,1,0,6.09090121763872
-1,1,1,0,1,0,-1,0,0,1,-0.694248105405493
-1,1,0,0,0,1,0,0,0,-1,-0.53806293632796
-1,-1,-1,0,0,-1,1,-1,-1,-1,-4.66983543969876
-1,0,-1,0,0,1,0,1,-1,1,-1.09011881846532
1,0,1,0,0,1,-1,0,0,-1,4.57519281642492
1,-1,0,1,1,1,1,-1,0,0,-0.9050792228885
-1,-1,1,1,0,-1,1,0,0,0,-4.74095931658398
-1,-1,0,1,-1,-1,1,1,0,1,-5.10264900728339
1,-1,1,0,0,0,-1,1,0,0,1.7394113857136
1,1,1,0,0,1,-1,-1,1,1,10.0006403945484
-1,-1,1,-1,0,0,-1,-1,0,1,-4.77104248827948
-1,-1,0,0,1,-1,0,0,0,0,-2.28278757786147
-1,-1,-1,0,1,1,0,1,1,1,2.10922289486628
-1,0,-1,-1,1,-1,1,-1,0,0,-2.19959584183412
1,-1,-1,1,1,1,-1,1,-1,1,0.510980947219934
-1,-1,0,-1,-1,1,-1,-1,-1,-1,-3.30894528673352
1,1,0,0,1,1,1,1,1,0,1.8602640045039
1,1,-1,-1,-1,-1,0,-1,1,1,4.58487851246992
1,1,1,-1,0,0,1,-1,0,1,5.53644196186937
1,-1,0,0,1,1,1,0,1,-1,-0.752911122485657
1,0,-1,-1,-1,0,-1,1,1,0,-1.8032176603887
-1,-1,0,0,0,0,0,0,-1,0,-5.95614943062907
-1,-1,1,1,-1,-1,-1,-1,1,0,-10.7494867263914
1,-1,1,1,1,0,1,0,0,0,3.2989985507291
1,0,1,-1,0,0,0,1,0,1,5.40477366095104
1,1,1,1,1,-1,1,0,0,-1,7.99837424134056
-1,-1,-1,-1,0,1,0,0,0,1,-0.608495925948878
-1,-1,1,1,-1,0,0,0,-1,1,-6.58137747365057
1,1,1,-1,-1,1,1,1,0,-1,7.26081854364792
1,1,-1,0,1,1,0,0,0,1,5.14972481131105
-1,-1,0,0,-1,1,0,-1,-1,0,-2.87433428575831
1,1,1,-1,0,1,0,1,1,0,6.44534226645631
-1,1,1,-1,0,0,1,1,1,-1,-2.87591054433376
1,1,0,-1,-1,-1,1,0,1,0,3.18535647448595
-1,0,-1,0,-1,-1,1,1,0,-1,-6.68347043797067
-1,-1,0,0,0,0,0,0,0,1,-3.77452874830153
1,-1,1,0,1,1,0,-1,0,0,3.41535484898352
-1,-1,1,-1,1,1,1,-1,1,1,0.705345209120618
1,0,0,-1,-1,1,0,1,-1,1,3.80464742026231
1,0,-1,-1,0,-1,0,1,-1,-1,-0.480122890011551
-1,0,0,0,1,-1,-1,1,0,1,-3.62497980932613
-1,0,1,1,1,0,1,-1,0,-1,1.4647770289333
1,1,1,0,1,-1,-1,-1,0,0,8.57745546824084
-1,-1,1,-1,0,-1,-1,0,1,-1,-5.77300949701239
1,-1,1,0,0,-1,0,1,0,0,1.57290398280635
1,-1,1,0,-1,0,1,-1,0,0,0.329129700635517
1,-1,0,-1,-1,0,0,0,1,-1,0.784306427851327
-1,0,0,0,-1,-1,1,1,0,-1,-6.04869261490726
1,-1,-1,1,-1,1,0,0,1,-1,0.00467622008518287
1,0,0,0,0,1,1,-1,-1,0,3.89966885104531
-1,-1,0,0,-1,0,-1,0,1,0,-7.16780864018672
1,-1,0,1,-1,0,0,-1,-1,1,-0.584017129527357
1,1,1,-1,-1,0,-1,0,-1,1,6.95696262329007
1,-1,0,-1,-1,-1,1,-1,-1,1,-2.92893826265966
1,0,1,1,-1,-1,1,1,-1,1,5.24841272045727
-1,-1,1,-1,1,1,-1,-1,0,1,2.04420694423417
-1,1,0,1,0,0,0,-1,0,-1,-1.45288343853608
-1,0,0,1,0,-1,0,0,1,0,-7.31212269725053
-1,1,0,1,0,1,-1,1,-1,-1,-3.1812817328087
1,1,1,-1,1,0,1,1,1,0,7.64265108034154
1,0,1,-1,0,0,0,-1,-1,0,3.74561479752912
-1,1,0,1,-1,0,-1,-1,1,1,-7.04186221583219
1,1,0,0,1,0,-1,1,0,-1,5.21451265611084
1,1,0,1,1,-1,0,1,0,1,7.92245303489592
1,0,0,-1,-1,1,1,-1,-1,-1,3.25940033417598
-1,0,0,-1,1,1,1,0,0,0,3.01060358154024
-1,1,-1,1,0,1,-1,0,-1,0,-1.53234742858198
-1,-1,1,1,1,0,0,0,-1,0,2.80725739393238
-1,0,-1,-1,0,-1,0,0,0,-1,-3.53006301591333
-1,1,-1,1,-1,-1,1,0,1,1,-7.72128100111286
1,0,0,-1,1,1,0,0,0,-1,1.98019224463175
1,-1,1,1,1,1,-1,0,-1,1,1.69543720889056
-1,1,-1,1,-1,0,-1,1,1,0,-4.40605526151726
-1,-1,0,-1,1,0,0,1,-1,0,2.88390121971009
-1,1,0,0,0,1,1,-1,-1,1,0.154789027862922
-1,-1,-1,-1,-1,1,0,-1,1,0,-3.99318298762081
-1,1,-1,-1,-1,1,0,-1,-1,0,-2.83411806365994
1,-1,1,-1,-1,-1,0,0,-1,1,0.389270295389239
-1,1,1,-1,-1,-1,0,-1,-1,0,-6.81678020580415
1,0,0,0,1,-1,0,1,0,1,3.9672332969286
1,1,1,-1,0,1,1,0,-1,-1,7.73713113007978
1,1,1,1,-1,1,0,1,-1,0,9.69444741242187
-1,0,1,-1,-1,1,1,0,1,1,-5.11297279857954
1,1,-1,-1,0,-1,0,0,1,1,4.51698274969873
-1,1,-1,1,1,1,0,0,1,0,-1.52413269943423
1,0,1,1,-1,0,-1,-1,-1,1,6.83932021519804
-1,0,0,1,1,0,1,0,0,0,-0.0954228283182348
-1,1,-1,-1,-1,1,1,0,-1,0,-3.74264606384364
-1,1,0,-1,1,1,-1,0,0,1,1.6813062460688
-1,0,0,-1,-1,-1,0,1,0,1,-8.58640459645282
-1,-1,-1,0,0,0,0,0,-1,0,-4.48759832337236
-1,1,1,0,0,1,1,-1,1,-1,-1.5306930701349
1,0,1,-1,1,-1,1,1,-1,1,3.06583411432255
1,1,1,-1,0,-1,0,0,1,1,6.83648124596665
-1,-1,-1,1,0,-1,-1,-1,1,0,-5.40141767654031
-1,1,0,-1,1,-1,-1,-1,0,-1,-3.12634080005488
1,0,-1,-1,1,1,0,-1,0,1,0.0559350479782742
-1,1,-1,0,0,-1,1,1,1,1,-4.1803646820848
1,1,1,-1,-1,0,-1,-1,0,1,7.01464443497451
-1,0,1,-1,-1,-1,0,0,1,0,-5.89072645972755
1,-1,1,1,1,-1,1,-1,1,-1,5.13483476523308
-1,-1,1,-1,1,0,0,1,1,-1,2.47904795820713
1,1,1,0,0,-1,1,1,-1,0,9.11095768310218
-1,1,1,1,0,0,0,0,0,0,-3.88160231140456
1,-1,1,0,0,1,1,0,1,-1,2.61996132202291
-1,1,0,0,1,1,0,1,1,0,2.90538594503195
1,1,1,-1,1,0,-1,-1,0,0,5.61575364506501
-1,-1,0,-1,-1,-1,1,0,-1,-1,-7.23660320201474
1,1,-1,-1,-1,1,-1,1,0,0,2.73670023427537
-1,-1,1,-1,-1,0,1,-1,-1,-1,-6.45576087913563
1,1,1,-1,1,-1,1,0,-1,0,9.3623840339064
1,0,1,-1,0,1,1,0,1,1,5.40222391945044
1,0,1,0,0,0,-1,0,1,-1,2.45022384786833
1,1,1,1,0,1,1,0,0,0,7.1946456138781
-1,1,1,-1,1,0,-1,0,-1,0,-3.85214655627478
1,1,1,1,1,-1,-1,1,-1,0,6.36314898472965
1,0,-1,0,-1,-1,0,0,0,-1,3.48721326561412
1,-1,1,-1,-1,0,-1,0,1,0,0.786942045597803
-1,-1,0,0,-1,-1,1,1,0,-1,-7.38587897760153
-1,0,0,1,1,-1,0,-1,1,1,-2.54546385277629
1,1,1,-1,0,0,0,-1,0,0,8.98019220067768
-1,0,-1,1,1,0,-1,0,1,-1,0.294881859155131
1,0,0,-1,-1,-1,-1,-1,0,-1,1.08443902062024
-1,0,0,0,0,1,0,0,-1,-1,-1.65974168548053
-1,1,0,1,0,1,-1,1,-1,1,0.178948002126219
1,-1,0,1,0,-1,-1,0,1,1,-1.20660812183072
-1,-1,-1,-1,-1,0,1,0,-1,1,-4.89409870539575
-1,-1,0,0,1,-1,1,-1,1,0,-0.0745071727818377
1,0,0,0,1,1,-1,1,0,-1,3.65572337128922
-1,-1,1,0,0,-1,1,-1,1,-1,-4.0101143362649
1,1,0,0,1,1,1,0,-1,-1,7.92261112176441
-1,1,-1,1,0,-1,-1,0,-1,-1,-4.91052450418656
-1,0,-1,1,1,0,1,-1,1,0,0.716032590950709
-1,-1,-1,-1,-1,-1,-1,0,0,-1,-7.66747060637193
1,0,1,1,1,-1,-1,0,1,0,4.04363152055042
1,-1,0,1,1,-1,-1,1,0,1,1.92874023376418
1,-1,1,1,0,1,-1,-1,-1,1,1.60886402342776
-1,-1,0,1,1,-1,-1,1,1,1,-2.84605411390872
-1,-1,1,1,-1,0,-1,-1,0,0,-6.86494285762567
-1,-1,-1,0,-1,-1,1,1,0,-1,-6.80037721350497
-1,-1,1,1,1,1,1,1,0,1,1.38095276513114
1,1,-1,0,0,-1,0,1,0,1,4.48397808643978
-1,0,1,1,0,1,0,0,-1,1,-3.10431632699363
1,1,-1,-1,-1,1,0,0,1,1,3.2596415701826
1,1,-1,1,0,0,0,1,1,0,5.78806422005106
1,0,-1,-1,-1,0,-1,1,-1,-1,-0.594804354084181
1,1,1,0,0,-1,-1,-1,0,1,8.71038933688837
1,0,1,1,1,0,-1,-1,1,1,8.86657216158864
1,1,1,1,1,1,0,0,0,-1,7.1844724039054
1,-1,-1,-1,1,-1,1,1,0,0,-1.36729020732169
1,1,0,1,1,1,0,0,-1,1,6.98312012731889
1,1,-1,1,0,1,1,-1,0,-1,4.5205693132027
1,1,-1,0,-1,0,0,1,-1,0,4.24827678485767
-1,1,0,1,0,0,-1,-1,0,1,-2.66492461866054
1,1,-1,0,-1,0,-1,-1,0,-1,2.32214895685312
1,-1,0,0,0,0,-1,-1,1,-1,-1.66734291119503
1,-1,-1,1,-1,1,1,-1,0,-1,-0.371057119190181
-1,1,1,0,1,-1,1,1,1,0,-2.10977040657615
-1,1,1,-1,0,0,1,-1,0,-1,-2.34263669881357
-1,0,-1,1,-1,-1,1,-1,0,-1,-5.66934422912893
1,-1,1,1,-1,1,-1,-1,-1,0,4.73116744682878
-1,1,1,-1,-1,0,-1,-1,-1,1,-6.51894092912697
-1,0,0,1,0,0,0,1,-1,1,-3.57691518851234
-1,0,1,1,-1,0,-1,1,0,1,-6.39103054126255
-1,-1,1,-1,-1,1,-1,1,0,-1,-6.32193381199095
1,0,0,0,-1,1,0,1,1,-1,-0.375323414317916
1,1,0,0,1,1,0,1,-1,1,5.30093766321554
-1,-1,1,-1,-1,0,0,-1,0,1,-5.13178428912136
1,0,-1,1,1,1,0,-1,1,1,1.79444484201232
-1,0,0,0,0,1,-1,-1,-1,-1,-1.11334207709128
-1,1,1,-1,1,0,0,-1,-1,1,0.435285827183034
-1,1,1,1,1,0,0,1,-1,1,-1.2000550437812
-1,0,-1,1,-1,-1,1,-1,-1,1,-4.11880978796037
1,0,-1,-1,0,0,1,1,-1,1,-1.75687530459624
1,0,0,1,0,1,1,1,-1,1,4.09118120912812
1,0,1,-1,-1,1,0,-1,0,-1,4.11498587658105
-1,0,1,1,1,0,-1,0,0,0,-1.53816144918923
-1,-1,0,-1,-1,-1,-1,0,0,-1,-10.4086287118229
1,-1,0,0,1,1,0,1,-1,0,2.15687405979965
1,0,1,1,0,0,-1,1,1,-1,6.58685709921742
-1,-1,0,-1,-1,-1,1,0,1,-1,-7.91336451922924
-1,-1,1,1,1,0,1,0,1,-1,2.07494762578153
-1,0,1,1,0,0,-1,-1,1,1,-4.56328580774843
-1,-1,1,1,1,1,1,1,0,-1,2.48732189548399
